path,bytes,first_commit,first_date,last_commit,last_date,heading
BRAIN_TRAINING_SUMMARY.md,6686,3cf507182da0e82fc1c16ca01cc90669add24064,2025-09-01T21:26:02-05:00,3cf507182da0e82fc1c16ca01cc90669add24064,2025-09-01T21:26:02-05:00,Comprehensive Brain Model Training System - COMPLETE
CONTRIBUTING.md,12843,2beff13ad16cabeb0da8b65405c06c2ec48ad0b9,2025-08-31T13:47:20-05:00,2beff13ad16cabeb0da8b65405c06c2ec48ad0b9,2025-08-31T13:47:20-05:00,Contributing to Real-time fMRI AI Analysis
GPU_ACCELERATION_SUCCESS.md,5927,fc559c33451ffab052820f21396ddcbf92a1fa53,2025-09-01T21:27:33-05:00,fc559c33451ffab052820f21396ddcbf92a1fa53,2025-09-01T21:27:33-05:00,GPU-Accelerated Brain Training System - COMPLETE ✅
PARALLEL_TRAINING_OPTIMIZATION_COMPLETE.md,13207,fc559c33451ffab052820f21396ddcbf92a1fa53,2025-09-01T21:27:33-05:00,fc559c33451ffab052820f21396ddcbf92a1fa53,2025-09-01T21:27:33-05:00,Parallel Dual-GPU Training Optimization - COMPLETE 🔥
PROGRESS_LOG.md,10857,2beff13ad16cabeb0da8b65405c06c2ec48ad0b9,2025-08-31T13:47:20-05:00,3876f11d91c52af85be9517c50e6f6dec5d81858,2025-09-05T12:38:52-05:00,Real-time fMRI AI Analysis - Development Progress Log
PROJECT_ARCHITECTURE.md,12461,2beff13ad16cabeb0da8b65405c06c2ec48ad0b9,2025-08-31T13:47:20-05:00,3876f11d91c52af85be9517c50e6f6dec5d81858,2025-09-05T12:38:52-05:00,Real-time fMRI AI Analysis Project Architecture
README.md,17785,2beff13ad16cabeb0da8b65405c06c2ec48ad0b9,2025-08-31T13:47:20-05:00,3876f11d91c52af85be9517c50e6f6dec5d81858,2025-09-05T12:38:52-05:00,Real-time fMRI AI Analysis
TRC_TPU_RULES.md,5392,b91596dc79bf99bfa5ac81d19d187e97d45a84a3,2026-05-31T10:52:02-05:00,b91596dc79bf99bfa5ac81d19d187e97d45a84a3,2026-05-31T10:52:02-05:00,TRC Cloud TPU Rules for `time-emission`
chronos_time_emission/README.md,4564,50f14f51d17a69da03ce6368765ef84caf9e3864,2026-06-07T19:27:44-05:00,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,CHRONOS Time-Emission Experiments
chronos_time_emission/docs/AQ_DLINOSS_CHRONO_0_RUN_SPEC_2026-06-14.md,14640,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,AQ-DLINOSS-CHRONO-0 Run Spec - 2026-06-14
chronos_time_emission/docs/CHRONOS_0B_REMOTE_ANALYSIS_2026-06-07.md,3485,50f14f51d17a69da03ce6368765ef84caf9e3864,2026-06-07T19:27:44-05:00,50f14f51d17a69da03ce6368765ef84caf9e3864,2026-06-07T19:27:44-05:00,CHRONOS-0b Remote Analysis (2026-06-07)
chronos_time_emission/docs/CHRONOS_MARGINAL_DRIFT_1_RUN_SPEC_2026-06-14.md,3776,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,CHRONOS-MARGINAL-DRIFT-1 Run Spec - 2026-06-14
chronos_time_emission/docs/CHRONOS_SCHUMANN_REPLICATION_SPEC_2026-06-13.md,5535,ad5b9142546f305545cec7db8bcf42fed06cd790,2026-06-13T13:13:51-05:00,ad5b9142546f305545cec7db8bcf42fed06cd790,2026-06-13T13:13:51-05:00,CHRONOS-SCHUMANN Replication Spec - 2026-06-13
chronos_time_emission/results0b_independence_remote/aq_dlinoss_chrono0_live/aq_dlinoss_chrono0_summary.md,430,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,AQ-DLINOSS-CHRONO-0 Summary
chronos_time_emission/results0b_independence_remote/independence_summary.md,376,ad5b9142546f305545cec7db8bcf42fed06cd790,2026-06-13T13:13:51-05:00,ad5b9142546f305545cec7db8bcf42fed06cd790,2026-06-13T13:13:51-05:00,CHRONOS-SCHUMANN-0b Independence Summary
chronos_time_emission/results0b_independence_remote/marginal_drift1/chronos_marginal_drift1_summary.md,613,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,bc154b25227107fb04705e626166668abc0a3cce,2026-06-14T17:06:08-05:00,CHRONOS-MARGINAL-DRIFT-1 Summary
chronos_time_emission/results0b_remote/summary.md,875,50f14f51d17a69da03ce6368765ef84caf9e3864,2026-06-07T19:27:44-05:00,50f14f51d17a69da03ce6368765ef84caf9e3864,2026-06-07T19:27:44-05:00,CHRONOS Time-Emission Summary
